logged_at_utc,scan_type,ticker,yf_first,yf_last,yf_bars,sa_first,sa_last,sa_bars,common_days,sa_staleness_days,close_pct_diff_last,close_pct_diff_max,close_pct_diff_mean,adj_pct_diff_last,adj_pct_diff_max,last_common_date,yf_close,sa_close,sa_adj,yf_volume,sa_volume,volume_pct_diff_last,ohlc_pct_diff_max_last,note
2026-09-16T20:30:18.963270+00:00,post_close,AMD,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-1.5994,1.5994,0.0126,51150.0,57990.9973,2026-09-16,512.5,520.83,1.0,22066461,12172428.555913,81.2823,1.671,
2026-09-16T20:30:18.963270+00:00,post_close,AMGN,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.3261,0.745,37535.0006,44311.9995,2026-09-16,376.35,376.35,1.0,2332055,1195468.718754,95.0745,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,AMZN,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.0,0.0,24496.0007,28301.9989,2026-09-16,245.96,245.96,1.0,32707107,23871486.097024,37.0133,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,ASML,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.3468,0.1406,160121.9971,198843.9698,2026-09-16,1602.22,1602.22,1.0,1329925,1098953.65975,21.0174,0.2197,
2026-09-16T20:30:18.963270+00:00,post_close,AVGO,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.367,0.0887,33851.001,48057.0011,2026-09-16,339.51,339.51,1.0,22799205,14749312.144591,54.5781,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,BKNG,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.4911,0.3436,17039.9994,21341.9998,2026-09-16,171.4,171.4,1.0,5732770,3663031.668928,56.5034,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,BMY,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,2.1254,0.7457,6259.9998,6708.9996,2026-09-16,63.6,63.6,1.0,9432076,4602390.405425,104.9386,0.0121,
2026-09-16T20:30:18.963270+00:00,post_close,CFG,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.3548,0.6456,6583.9996,7373.0003,2026-09-16,66.84,66.84,1.0,5122472,3652627.778784,40.2407,0.3274,
2026-09-16T20:30:18.963270+00:00,post_close,CFR,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.3881,0.8784,15844.0002,16908.0013,2026-09-16,159.44,159.44,1.0,592455,407685.456321,45.3216,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,FITB,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.5934,0.4694,5141.0,5836.9999,2026-09-16,52.41,52.41,1.0,7428525,5099906.254232,45.66,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,GILD,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.2093,0.8682,14667.9993,15022.0001,2026-09-16,147.68,147.68,1.0,5078438,2555660.200791,98.7134,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,HBAN,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.8931,0.4591,1482.0,1755.9999,2026-09-16,15.82,15.82,1.0,76721976,59913009.332092,28.0556,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,HD,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.4706,0.9997,30147.0001,35689.998,2026-09-16,302.47,302.47,1.0,3662841,2189287.776705,67.3074,0.0323,
